t v
2.791066 1.0567148649
2.811071 1.05275548132
2.831071 1.0434593968
2.851071 1.03467564093
2.871071 1.02764173553
2.891074 1.02503643355
2.911076 1.02104023935
2.931076 1.01515910975
2.951076 1.00703334542
2.97108 1.00154772538
2.991083 0.992980398718
3.01109 0.989131215018
3.052001 0.979328521602
3.072002 0.969916536677
3.092003 0.960314310462
3.112007 0.952692155443
3.132007 0.946554885342
3.152007 0.93935602441
3.172007 0.933081807596
3.192007 0.92553669977
3.212007 0.919462857453
3.23201 0.911905849429
3.25201 0.90414955709
3.272013 0.898045760073
3.292017 0.893389147404
3.312018 0.890715638569
3.332018 0.885268826767
3.352018 0.879683485861
3.372019 0.874079711735
3.392023 0.868035158454
3.412025 0.863348467956
3.432028 0.857886295549
3.452032 0.85255759675
3.472035 0.850088760851
3.492039 0.849229989629
3.512039 0.849593763168
3.532041 0.850883335017
3.552044 0.855018553068
3.572045 0.864584730198
3.592045 0.860657967658
3.61205 0.861688870976
3.63205 0.870836465333
3.652055 0.88316282337
3.672055 0.892810345365
3.692055 0.899601099414
3.712058 0.909270561873
3.73206 0.920717935553
3.75206 0.922250366888
3.772065 0.923662796594
3.792069 0.927865520043
3.81207 0.931374835464
3.832073 0.940621164393
3.852076 0.946493479085
3.872077 0.945179272655
3.89208 0.949872241979
3.912081 0.961992042775
3.932082 0.971729380922
3.952082 0.982035348497
3.972082 0.982938274328
3.992082 0.988692969046
4.012082 0.988628001563
4.052987 1.00130746579
4.072991 1.01560487085
4.092991 1.03064883078
4.112993 1.0432123243
4.132996 1.05250131368
4.152996 1.05331985762
4.173001 1.05567351743
4.193005 1.05401644076
4.213008 1.04148525312
4.233013 1.04050584317
4.253013 1.03398310833
4.273017 1.03509987508
4.293018 1.03279145261
4.313018 1.03163925223
4.333019 1.03207371098
4.353023 1.03054050396
4.373027 1.03088462044
4.393029 1.02794751683
4.413034 1.02150603599
4.433037 1.02084029519
4.453039 1.01935217012
4.473039 1.01757195272
4.493042 1.01083651788
4.513044 1.00733526151
4.533044 1.00388183139
4.553044 0.99905437134
4.573046 0.992542748438
4.59305 0.985562179371
4.61305 0.97961975567
4.63305 0.977323009713
4.653054 0.977107451436
4.673058 0.97694061438
4.693059 0.979090916154
4.713064 0.977287154415
4.733066 0.968632600011
4.753068 0.957451152101
4.773071 0.948968967213
4.793071 0.940587383275
4.813075 0.931668092581
4.833075 0.924443075109
4.853076 0.916657809338
4.87308 0.912066538537
4.893082 0.906519763891
4.913082 0.90243047078
4.933087 0.900117730552
4.953092 0.89329067177
4.973097 0.889804483983
4.993101 0.88808692035
5.013103 0.886914792196
5.054003 0.885249060031
5.074007 0.888229240223
5.094009 0.892720614667
5.114013 0.901338601333
5.134018 0.912091328708
5.154021 0.917112737091
5.174023 0.927063980922
5.194024 0.942235156715
5.214025 0.956167956648
5.234026 0.97266303621
5.254028 0.981922054064
5.274031 0.98903359252
5.294034 0.999383802908
5.314036 1.01118306276
5.334039 1.0217751341
5.354039 1.0302852534
5.374041 1.03886358265
5.394044 1.04176749439
5.414047 1.04550188143
5.434049 1.04848082619
5.454052 1.04895621033
5.474052 1.05289628444
5.494055 1.05849606735
5.514059 1.06500332143
5.534059 1.07075754687
5.55406 1.08163846237
5.574063 1.09044512082
5.594065 1.09400248768
5.614066 1.09232664401
5.634066 1.09842600198
5.654066 1.10553515301
5.674066 1.11160961267
5.694066 1.1158741614
5.714071 1.12127117921
5.734071 1.12859823364
5.754071 1.13727894099
5.774075 1.14687695912
5.794079 1.15377793995
5.814079 1.16279600575
5.834082 1.15992666774
5.854082 1.15417625607
5.874082 1.14772582112
5.894087 1.14326071317
5.914092 1.1387232626
5.934096 1.1359506893
5.954096 1.13379176005
5.974101 1.12795422076
5.994101 1.12596659547
6.014106 1.12472343273
6.055 1.12449624822
6.075 1.12407097778
6.095002 1.12054860457
6.115005 1.11699295629
6.135009 1.11390904504
6.155012 1.10025961787
6.175014 1.0906406482
6.195017 1.07668964239
6.215019 1.06286032919
6.235021 1.04943942527
6.255023 1.04201086391
6.275023 1.03370085196
6.295023 1.019387276
6.315023 1.00483795435
6.335023 0.991169988273
6.355025 0.980006383993
6.375028 0.97053236094
6.395028 0.96189302939
6.415031 0.953576388539
6.435034 0.944906970644
6.455034 0.934464245225
6.475034 0.926550816806
6.495039 0.919896922027
6.515039 0.91184956447
6.535039 0.905108642562
6.555042 0.898362581699
6.575045 0.887718259145
6.595045 0.875761250462
6.61505 0.865761922332
6.635055 0.853451355666
6.655059 0.840406134419
6.675061 0.827609369636
6.695064 0.813201067884
6.715066 0.797570095914
6.735066 0.783635506037
6.755068 0.770576268331
6.775071 0.760059593806
6.795075 0.74795782109
6.815077 0.735313587243
6.835078 0.724029166827
6.855081 0.713301251187
6.875082 0.700402792462
6.895082 0.688334675697
6.915085 0.68137655306
6.935091 0.674625722898
6.955095 0.669046932915
6.975098 0.663768938567
6.995102 0.660045605086
7.015106 0.658137332841
7.055999 0.660475582767
7.076002 0.664105714186
7.096002 0.667931322757
7.116005 0.672006963734
7.136006 0.678960733891
7.156007 0.689173245663
7.176007 0.699694515993
7.19601 0.710852534294
7.216013 0.721876702843
7.236014 0.730345444693
7.256015 0.738577429361
7.276018 0.745045798374
7.296018 0.753864832687
7.316019 0.763518647653
7.336023 0.771441031049
7.356027 0.786781120108
7.376028 0.802486656955
7.396028 0.81671611041
7.416029 0.836550225049
7.436031 0.855116581149
7.456034 0.871048482449
7.476038 0.887456975571
7.496038 0.902381538377
7.516039 0.91699684938
7.536042 0.929183422776
7.556044 0.938672852892
7.576046 0.947293788272
7.59605 0.955625553885
7.61605 0.963291561193
7.63605 0.970771622966
7.65605 0.976469839371
7.676051 0.978490207777
7.696055 0.980771415418
7.716055 0.982242827099
7.736059 0.983401908859
7.756061 0.983742152505
7.776066 0.982917613893
7.796071 0.981491067781
7.816071 0.980115613599
7.836071 0.979805012107
7.856071 0.979484174105
7.876071 0.978856474354
7.896074 0.975709379288
7.916076 0.973903150066
7.936078 0.972242901669
7.956082 0.965652691171
7.976082 0.960128088439
7.996082 0.953921227914
8.016082 0.953558682487
8.057004 0.944676237938
8.077009 0.939824546923
8.097013 0.930061286779
8.117018 0.923543685968
8.137018 0.910930031525
8.15702 0.903761418696
8.177023 0.897596099141
8.197023 0.891375715037
8.217025 0.88487970861
8.237028 0.875218118436
8.257029 0.864622236549
8.277034 0.85577100845
8.297034 0.843763243614
8.317037 0.832126540903
8.33704 0.817548051996
8.357044 0.803313600379
8.377044 0.786575647926
8.397044 0.773001874412
8.417047 0.756625453187
8.437048 0.740066165704
8.45705 0.724714662128
8.47705 0.711188714108
8.49705 0.699277498516
8.517054 0.688363267949
8.537055 0.676975476656
8.557055 0.66590154325
8.577057 0.654121050492
8.597058 0.64357858501
8.617059 0.63388373004
8.637059 0.624857763789
8.65706 0.616100235133
8.67706 0.608850431764
8.69706 0.603427712039
8.717061 0.596338074793
8.737066 0.588181345041
8.757067 0.580643417152
8.777071 0.577794094207
8.797071 0.572750750955
8.817073 0.57204184639
8.837075 0.572090736535
8.857076 0.574676798801
8.877076 0.583264857223
8.897076 0.593338676798
8.917079 0.601928281405
8.937081 0.607864068304
8.957082 0.61652319993
8.977086 0.628384176858
8.997092 0.641270267275
9.017097 0.660679825147
9.057998 0.679835352554
9.078002 0.699273191521
9.098003 0.717275857447
9.118007 0.733495296243
9.138007 0.74991435717
9.158007 0.767420094523
9.178008 0.783420886703
9.198012 0.802882362263
9.218017 0.820373304096
9.238018 0.836409958742
9.258023 0.867668000508
9.278024 0.88695895632
9.298028 0.903879177906
9.318029 0.91968193846
9.338034 0.932532445784
9.358039 0.94138081078
9.378041 0.949175817087
9.398042 0.956492190189
9.418044 0.958422618101
9.438045 0.955406110082
9.458049 0.953652103044
9.478051 0.955221135116
9.498055 0.958766054418
9.518058 0.958845424705
9.53806 0.959381192086
9.558061 0.9510779036
9.578061 0.942438954423
9.598066 0.940942890977
9.618066 0.935068484986
9.638066 0.931633498121
9.658066 0.924114502963
9.678066 0.912042536798
9.698069 0.911177523873
9.718074 0.908767462831
9.738076 0.907132608904
9.758076 0.906740352082
9.778081 0.905133877575
9.798082 0.90176692895
9.818082 0.899675643218
9.838084 0.898763762783
9.858086 0.89767154487
9.87809 0.900146732968
9.89809 0.900484169653
9.918092 0.901221293609
9.938095 0.89998312345
9.958098 0.898783455602
9.978101 0.894744856646
9.998105 0.889922140088
10.018106 0.888690394163
10.058999 0.883975920801
10.079002 0.877581197953
10.099003 0.871875252449
10.119003 0.86622607473
10.139006 0.860445910914
10.159007 0.856445717023
10.179011 0.854348717908
10.199014 0.855129551875
10.219018 0.853322143415
10.239023 0.849478756777
10.259023 0.844545811273
10.279025 0.840377077491
10.299028 0.83673228888
10.319028 0.835355165838
10.339029 0.833322637957
10.359034 0.829038177973
10.379034 0.824644487526
10.399034 0.818419763756
10.419035 0.812493513111
10.439039 0.802911528893
10.459041 0.792951466402
10.479043 0.784914070819
10.499043 0.776259497639
10.519044 0.768434111675
10.539044 0.759763665764
10.559044 0.749984396169
10.579048 0.740837707366
10.59905 0.73061936191
10.61905 0.723867656252
10.639052 0.718644492956
10.659055 0.715378603512
10.679056 0.711609481091
10.699059 0.705654665937
10.719061 0.706677949561
10.739941 0.707423044635
10.759943 0.707219327841
10.779947 0.708571932086
10.799949 0.706355609846
10.819954 0.703273401263
10.839954 0.706559955139
10.859954 0.705904101294
10.879954 0.709475437204
10.899956 0.715045990936
10.919959 0.722587782522
10.93996 0.729177587516
10.959964 0.739530745292
10.979964 0.75308695964
10.999964 0.771230248768
11.019967 0.790212256316
11.06 0.811344433679
11.080001 0.830081474435
11.100002 0.848295328454
11.120002 0.865833521094
11.140003 0.884153497618
11.160007 0.896997721779
11.180008 0.8945271462
11.200012 0.90331555029
11.220012 0.913029405522
11.240016 0.915377801728
11.260018 0.913104197817
11.280018 0.918074310884
11.300022 0.924400641388
11.320026 0.930508738983
11.340026 0.937386190343
11.360029 0.944425791858
11.380033 0.954058373205
11.400034 0.964253986522
11.420034 0.97459262284
11.440034 0.988083076066
11.460034 0.993562336988
11.480036 0.997781276345
11.500039 1.0043519909
11.520042 1.01667318906
11.540044 1.02570373043
11.560047 1.03426061796
11.58005 1.04616302511
11.60005 1.05230302191
11.620051 1.05814362424
11.640055 1.06385777457
11.660055 1.07655553698
11.680055 1.08796022351
11.700055 1.09771910289
11.720056 1.09625286597
11.74006 1.10568374385
11.76006 1.11352088356
11.78006 1.12240318365
11.80006 1.11415853099
11.82006 1.11731097056
11.840065 1.11888849899
11.860065 1.1198688086
11.880066 1.11496748674
11.900068 1.10920209978
11.920071 1.10107956497
11.940071 1.08420779773
11.960071 1.0724683564
11.980071 1.06512755842
12.000074 1.05537121604
12.040998 1.04698931827
12.060999 1.03975455461
12.081001 1.03248895685
12.101002 1.02524834862
12.121002 1.01989378649
12.141007 1.01341478453
12.161009 1.00782553287
12.181013 0.999762821708
12.201018 0.988916685702
12.221018 0.976359985813
12.241018 0.962153278096
12.261021 0.948001394347
12.281023 0.933914683028
12.301023 0.920131275955
12.321023 0.90483961051
12.341023 0.894324650285
12.361023 0.883882182056
12.381023 0.874954191086
12.401023 0.865708939842
12.421023 0.856534991425
12.441026 0.849565747407
12.461028 0.843044925339
12.481033 0.835187066054
12.501037 0.828741639683
12.521042 0.818913770762
12.541042 0.808616808243
12.561044 0.800805347845
12.581046 0.789980024801
12.601048 0.785435861545
12.62105 0.783040979586
12.64105 0.784133611484
12.66105 0.783985828481
12.681051 0.786144197855
12.701054 0.788182671726
12.721058 0.791996972938
12.74106 0.794822656821
12.761064 0.800967041453
12.781068 0.807400246087
12.801069 0.811280662966
12.82107 0.819377304418
12.84107 0.827608283734
12.861074 0.836187009304
12.881076 0.843808048376
12.901079 0.851751661605
12.92108 0.85972562793
12.941083 0.865428630731
12.96109 0.876185212387
12.981093 0.88526131949
13.001093 0.890495353053
13.044987 0.904256438024
13.064991 0.920618554288
13.084991 0.938107032394
13.104994 0.956489968262
13.124996 0.977488334051
13.144996 0.995939827894
13.164996 1.01179727692
13.185001 1.02102518156
13.205003 1.02773892376
13.225003 1.0351327737
13.245007 1.04157994159
13.265007 1.04376102039
13.285008 1.05209853189
13.305013 1.05518887204
13.325013 1.05775080256
13.345016 1.06260417574
13.365019 1.06471783026
13.385022 1.06238713857
13.405023 1.06192906627
13.425023 1.05980331231
13.445023 1.05794429754
13.465023 1.05706658913
13.485023 1.06391584193
13.505027 1.06734204279
13.525032 1.07514966261
13.545035 1.08428410545
13.565039 1.09453417428
13.585039 1.1071370802
13.605039 1.11222986703
13.625039 1.11631835309
13.645039 1.11417687928
13.665039 1.11588608574
13.685039 1.11746663435
13.705042 1.11650516719
13.725042 1.11260750404
13.745042 1.11620883597
13.765044 1.11630765456
13.785048 1.11080168864
13.80505 1.10671408544
13.82505 1.10111082559
13.84505 1.0991229228
13.86505 1.09457036692
13.88505 1.09083261027
13.905052 1.08661158738
13.925055 1.07997774078
13.945055 1.07426822403
13.965055 1.06614543432
13.985055 1.05817480317
14.005057 1.0495745108
14.046003 1.03865318357
14.066006 1.02730862532
14.086007 1.01847220915
14.10601 1.00891767965
14.126013 0.999228792472
14.146017 0.989653289218
14.166018 0.981008403708
14.186018 0.972229659581
14.206018 0.964668259166
14.226021 0.956309246694
14.246024 0.94980141754
14.266027 0.943332456695
14.286029 0.936556625515
14.306029 0.929429185097
14.326031 0.922103515494
14.346034 0.914900973529
14.366034 0.908065532732
14.386037 0.899861148782
14.406039 0.893523172823
14.426042 0.888973886797
14.446045 0.883175553942
14.46605 0.8772560162
14.48605 0.871061681279
14.506054 0.866087884363
14.526054 0.861908112795
14.546058 0.85958405761
14.56606 0.861146388637
14.586065 0.863738173604
14.606065 0.870556345113
14.626069 0.877056191643
14.64607 0.883909911215
14.666071 0.892064415693
14.686071 0.901584226001
14.706071 0.911874548992
14.726075 0.922222552196
14.746076 0.925143606113
14.76608 0.94129111383
14.786082 0.949765672216
14.806082 0.966146638466
14.826082 0.981347937144
14.846085 1.01022139892
14.866091 1.03018753253
14.886095 1.050630701
14.906098 1.06492215656
14.926099 1.09163437868
14.9461 1.10374418521
14.966101 1.11938807988
14.986103 1.13277370074
15.006105 1.14930368152
15.047001 1.16421261711
15.067005 1.17700610241
15.087007 1.18877613402
15.107008 1.19552380659
15.127012 1.20090764493
15.147012 1.21034849527
15.167017 1.21536940481
15.187017 1.2202695073
15.207017 1.22337216065
15.227018 1.22599447495
15.247018 1.22404198596
15.267019 1.22006340745
15.287022 1.21825581221
15.307023 1.21433775357
15.327023 1.20934168269
15.347027 1.20445760886
15.367028 1.20624826456
15.38703 1.20492528409
15.407034 1.21479739316
15.427034 1.2202803491
15.447035 1.21859068973
15.467039 1.20917370304
15.487039 1.203696317
15.507042 1.19173744863
15.527043 1.1839817177
15.547048 1.17703446874
15.567049 1.17479013888
15.587053 1.17531916382
15.607055 1.17841747514
15.627055 1.17995339741
15.647055 1.18551992225
15.667059 1.18929244992
15.687061 1.1923649086
15.707062 1.19754621634
15.727066 1.20338104735
15.747066 1.20121008581
