0t 1p
3.23201 0.0
3.25201 0.0
3.272013 0.0
3.292017 0.0
3.312018 0.0
3.332018 0.0
3.352018 0.0
3.372019 0.0
3.392023 0.0
3.412025 0.0
3.432028 0.0
3.452032 0.0
3.472035 0.0
3.492039 0.0
3.512039 0.0
3.532041 0.0
3.552044 0.0
3.572045 0.0
3.592045 0.0
3.61205 0.0
3.63205 0.0
3.652055 0.0
3.672055 0.0
3.692055 0.0
3.712058 0.0
3.73206 0.435822813823
3.75206 0.435822813823
3.772065 0.435822813823
3.792069 0.435822813823
3.81207 0.435822813823
3.832073 0.435822813823
3.852076 0.435822813823
3.872077 0.435822813823
3.89208 0.435822813823
3.912081 0.435822813823
3.932082 0.435822813823
3.952082 0.435822813823
3.972082 0.435822813823
3.992082 0.435822813823
4.012082 0.435822813823
4.052987 0.435822813823
4.072991 0.435822813823
4.092991 0.435822813823
4.112993 0.435822813823
4.132996 0.435822813823
4.152996 0.435822813823
4.173001 0.435822813823
4.193005 0.435822813823
4.213008 0.435822813823
4.233013 0.435822813823
4.253013 0.0
4.273017 0.0
4.293018 0.0
4.313018 0.0
4.333019 0.0
4.353023 0.0
4.373027 0.0
4.393029 0.0
4.413034 0.0
4.433037 0.0
4.453039 0.0
4.473039 0.0
4.493042 0.0
4.513044 0.0
4.533044 0.0
4.553044 0.0
4.573046 0.0
4.59305 0.0
4.61305 0.0
4.63305 0.0
4.653054 0.0
4.673058 0.0
4.693059 0.0
4.713064 0.0
4.733066 0.0
4.753068 0.0
4.773071 0.0
4.793071 0.0
4.813075 0.0
4.833075 0.0
4.853076 0.0
4.87308 0.0
4.893082 0.0
4.913082 0.0
4.933087 0.0
4.953092 0.0
4.973097 0.0
4.993101 0.0
5.013103 0.0
5.054003 0.0
5.074007 0.0
5.094009 0.0
5.114013 0.0
5.134018 0.0
5.154021 0.0
5.174023 0.0
5.194024 0.0
5.214025 0.424303933037
5.234026 0.424303933037
5.254028 0.424303933037
5.274031 0.424303933037
5.294034 0.424303933037
5.314036 0.424303933037
5.334039 0.424303933037
5.354039 0.424303933037
5.374041 0.424303933037
5.394044 0.424303933037
5.414047 0.424303933037
5.434049 0.424303933037
5.454052 0.424303933037
5.474052 0.424303933037
5.494055 0.424303933037
5.514059 0.424303933037
5.534059 0.424303933037
5.55406 0.424303933037
5.574063 0.424303933037
5.594065 0.424303933037
5.614066 0.424303933037
5.634066 0.424303933037
5.654066 0.424303933037
5.674066 0.424303933037
5.694066 0.424303933037
5.714071 0.424303933037
5.734071 0.424303933037
5.754071 0.424303933037
5.774075 0.424303933037
5.794079 0.424303933037
5.814079 0.424303933037
5.834082 0.424303933037
5.854082 0.424303933037
5.874082 0.424303933037
5.894087 0.424303933037
5.914092 0.0
5.934096 0.0
5.954096 0.0
5.974101 0.0
5.994101 0.0
6.014106 0.0
6.055 0.0
6.075 0.0
6.095002 0.0
6.115005 0.0
6.135009 0.0
6.155012 0.0
6.175014 0.0
6.195017 0.0
6.215019 0.0
6.235021 0.0
6.255023 0.0
6.275023 0.0
6.295023 0.0
6.315023 0.0
6.335023 0.0
6.355025 0.0
6.375028 0.0
6.395028 0.0
6.415031 0.0
6.435034 0.0
6.455034 0.0
6.475034 0.0
6.495039 0.0
6.515039 0.0
6.535039 0.0
6.555042 0.0
6.575045 0.0
6.595045 0.0
6.61505 0.0
6.635055 0.0
6.655059 0.0
6.675061 0.0
6.695064 0.0
6.715066 0.0
6.735066 0.0
6.755068 0.0
6.775071 0.0
6.795075 0.0
6.815077 0.0
6.835078 0.0
6.855081 0.0
6.875082 0.0
6.895082 0.0
6.915085 0.0
6.935091 0.0
6.955095 0.0
6.975098 0.0
6.995102 0.0
7.015106 0.0
7.055999 0.0
7.076002 0.0
7.096002 0.0
7.116005 0.0
7.136006 0.0
7.156007 0.0
7.176007 0.0
7.19601 0.0
7.216013 0.0
7.236014 0.0
7.256015 0.0
7.276018 0.67900639204
7.296018 0.67900639204
7.316019 0.67900639204
7.336023 0.67900639204
7.356027 0.67900639204
7.376028 0.67900639204
7.396028 0.67900639204
7.416029 0.67900639204
7.436031 0.67900639204
7.456034 0.67900639204
7.476038 0.67900639204
7.496038 0.67900639204
7.516039 0.67900639204
7.536042 0.67900639204
7.556044 0.67900639204
7.576046 0.67900639204
7.59605 0.67900639204
7.61605 0.67900639204
7.63605 0.67900639204
7.65605 0.67900639204
7.676051 0.67900639204
7.696055 0.67900639204
7.716055 0.67900639204
7.736059 0.67900639204
7.756061 0.67900639204
7.776066 0.67900639204
7.796071 0.67900639204
7.816071 0.67900639204
7.836071 0.67900639204
7.856071 0.67900639204
7.876071 0.67900639204
7.896074 0.0
7.916076 0.0
7.936078 0.0
7.956082 0.0
7.976082 0.0
7.996082 0.0
8.016082 0.0
8.057004 0.0
8.077009 0.0
8.097013 0.0
8.117018 0.0
8.137018 0.0
8.15702 0.0
8.177023 0.0
8.197023 0.0
8.217025 0.0
8.237028 0.0
8.257029 0.0
8.277034 0.0
8.297034 0.0
8.317037 0.0
8.33704 0.0
8.357044 0.0
8.377044 0.0
8.397044 0.0
8.417047 0.0
8.437048 0.0
8.45705 0.0
8.47705 0.0
8.49705 0.0
8.517054 0.0
8.537055 0.0
8.557055 0.0
8.577057 0.0
8.597058 0.0
8.617059 0.0
8.637059 0.0
8.65706 0.0
8.67706 0.0
8.69706 0.0
8.717061 0.0
8.737066 0.0
8.757067 0.0
8.777071 0.0
8.797071 0.0
8.817073 0.0
8.837075 0.0
8.857076 0.0
8.877076 0.0
8.897076 0.0
8.917079 0.0
8.937081 0.0
8.957082 0.0
8.977086 0.0
8.997092 0.0
9.017097 0.87301576594
9.057998 0.87301576594
9.078002 0.87301576594
9.098003 0.87301576594
9.118007 0.87301576594
9.138007 0.87301576594
9.158007 0.87301576594
9.178008 0.87301576594
9.198012 0.87301576594
9.218017 0.87301576594
9.238018 0.87301576594
9.258023 0.87301576594
9.278024 0.87301576594
9.298028 0.87301576594
9.318029 0.87301576594
9.338034 0.87301576594
9.358039 0.87301576594
9.378041 0.87301576594
9.398042 0.87301576594
9.418044 0.87301576594
9.438045 0.87301576594
9.458049 0.87301576594
9.478051 0.87301576594
9.498055 0.87301576594
9.518058 0.87301576594
9.53806 0.87301576594
9.558061 0.87301576594
9.578061 0.87301576594
9.598066 0.87301576594
9.618066 0.0
9.638066 0.0
9.658066 0.0
9.678066 0.0
9.698069 0.0
9.718074 0.0
9.738076 0.0
9.758076 0.0
9.778081 0.0
9.798082 0.0
9.818082 0.0
9.838084 0.0
9.858086 0.0
9.87809 0.0
9.89809 0.0
9.918092 0.0
9.938095 0.0
9.958098 0.0
9.978101 0.0
9.998105 0.0
10.018106 0.0
10.058999 0.0
10.079002 0.0
10.099003 0.0
10.119003 0.0
10.139006 0.0
10.159007 0.0
10.179011 0.0
10.199014 0.0
10.219018 0.0
10.239023 0.0
10.259023 0.0
10.279025 0.0
10.299028 0.0
10.319028 0.0
10.339029 0.0
10.359034 0.0
10.379034 0.0
10.399034 0.0
10.419035 0.0
10.439039 0.0
10.459041 0.0
10.479043 0.0
10.499043 0.0
10.519044 0.0
10.539044 0.0
10.559044 0.0
10.579048 0.0
10.59905 0.0
10.61905 0.0
10.639052 0.0
10.659055 0.0
10.679056 0.0
10.699059 0.0
10.719061 0.0
10.739941 0.0
10.759943 0.0
10.779947 0.0
10.799949 0.0
10.819954 0.0
10.839954 0.0
10.859954 0.0
10.879954 0.0
10.899956 0.0
10.919959 0.0
10.93996 0.0
10.959964 0.0
10.979964 0.0
10.999964 0.601899826288
11.019967 0.601899826288
11.06 0.601899826288
11.080001 0.601899826288
11.100002 0.601899826288
11.120002 0.601899826288
11.140003 0.601899826288
11.160007 0.601899826288
11.180008 0.601899826288
11.200012 0.601899826288
11.220012 0.601899826288
11.240016 0.601899826288
11.260018 0.601899826288
11.280018 0.601899826288
11.300022 0.601899826288
11.320026 0.601899826288
11.340026 0.601899826288
11.360029 0.601899826288
11.380033 0.601899826288
11.400034 0.601899826288
11.420034 0.601899826288
11.440034 0.601899826288
11.460034 0.601899826288
11.480036 0.601899826288
11.500039 0.601899826288
11.520042 0.601899826288
11.540044 0.601899826288
11.560047 0.601899826288
11.58005 0.601899826288
11.60005 0.601899826288
11.620051 0.601899826288
11.640055 0.601899826288
11.660055 0.601899826288
11.680055 0.601899826288
11.700055 0.601899826288
11.720056 0.601899826288
11.74006 0.601899826288
11.76006 0.601899826288
11.78006 0.601899826288
11.80006 0.601899826288
11.82006 0.601899826288
11.840065 0.601899826288
11.860065 0.601899826288
11.880066 0.601899826288
11.900068 0.601899826288
11.920071 0.0
11.940071 0.0
11.960071 0.0
11.980071 0.0
12.000074 0.0
12.040998 0.0
12.060999 0.0
12.081001 0.0
12.101002 0.0
12.121002 0.0
12.141007 0.0
12.161009 0.0
12.181013 0.0
12.201018 0.0
12.221018 0.0
12.241018 0.0
12.261021 0.0
12.281023 0.0
12.301023 0.0
12.321023 0.0
12.341023 0.0
12.361023 0.0
12.381023 0.0
12.401023 0.0
12.421023 0.0
12.441026 0.0
12.461028 0.0
12.481033 0.0
12.501037 0.0
12.521042 0.0
12.541042 0.0
12.561044 0.0
